,author,title,gender,sizecat,canonicity,timeslot
FRA0010_Ponson-000,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-001,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-002,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-003,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-004,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-005,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-006,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-007,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-008,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-009,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-010,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-011,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-012,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-013,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-014,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-015,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-016,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-017,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-018,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-019,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-020,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-021,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-022,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-023,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-024,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-025,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-026,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-027,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-028,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-029,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-030,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-031,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-032,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-033,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-034,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-035,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-036,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-037,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-038,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-039,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-040,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-041,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-042,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-043,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-044,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
FRA0010_Ponson-045,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,M,medium,high,T1
