idno,univ,year,date,title,count
pu2252,PolyU,2012,2012-02-22,"$10 million boost for ""PolyU – Henry G. Leong Mobile Integrative Health Centre""",1
pu1197,PolyU,2009,2009-08-23,PolyU participates in the First SPINEXPO New York International Trade Fair,1
cu1849,CUHK,2014,2014-07-24,Survey Findings on Evaluation of Political Parties in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
hu0426,HKU,2008,2008-04-08,Work Life Balance in Hong Kong Survey Results,1
cu3754,CUHK,2003,2003-04-14,Schools Against SARS,1
pu2018,PolyU,2010,2010-12-15,PolyU hosts the First International Conference on Sustainable Urbanization,1
cu3154,CUHK,2005,2005-08-18,Inventor of Laser Charles Townes Lectures at the Chinese University,1
pu2511,PolyU,2013,2013-05-07,Asia Pacific Initiative Programme launches,1
pu0402,PolyU,2003,2003-07-07,PolyU honours winning secondary school teams in E-Shop Competition,1
pu2121,PolyU,2011,2011-07-08,"Major forum sheds light on the future of ""Shenzhen-HK Innovation Circle""",1
pu1021,PolyU,2008,2008-07-17,PolyU's environmental improvement project receives support of HSBC,1
cu1204,CUHK,2011,2011-12-16,CUHK Vice-Chancellor Professor Joseph Sung Elected Academician of the Chinese Academy of Engineering The Only Hong Kong Scientist to Receive the Honour this Year,1
cu2269,CUHK,2016,2016-05-24,CUHK and HKU Researchers Introduce 3D Printing Technology in Complex Cardiac Surgery Procedures,1
cu1720,CUHK,2013,2013-12-18,CUHK SHKDI holds Dr. Li Dak Sum Shanghai-Hong Kong Development Lecture and Cheque Presentation Ceremony Today Mr. Andrew Sheng Speaks on Financial Development in Shanghai and Hong Kong,1
pu1754,PolyU,2005,2005-07-27,PolyU wins international acclaim on alumni development and fund-raising,1
pu1090,PolyU,2008,2008-12-31,PolyU dedicates a tree to long-serving President,1
pu0745,PolyU,2006,2006-12-18,PolyU DBA on the world map with its 10th anniversary,1
pu2222,PolyU,2012,2012-01-08,PolyU Optometry Expert Proves the Effectiveness of Orthokeratology in Myopic Control,1
pu0837,PolyU,2007,2007-05-08,PolyU staged first forum on China hotel and tourism development in New York,1
pu0953,PolyU,2008,2008-01-17,PolyU to host first international symposium of intimate apparel,1
