author;titel;jahr
alexis;sacken;1910
andolt;nacht;1910
arnim;invalide;1910
auerbach;diethelm;1910
berthold;irrwischfritze;1910
brentano;annerl;1910
chamisso;schlemihl;1910
dincklage;striethast;1910
droste;judenbuche;1910
eichendorff;gluecksritter;1910
ense;liebe;1910
frey;versprechen;1910
gall;luege;1910
gerstaecker;germelshausen;1910
gluemer;arm;1910
goethe;melusine;1910
goldammer;hochzeitsnacht;1910
goldammer;wiedersehen;1910
gotthelf;koppingen;1910
gotthelf;notar;1910
grillparzer;spielmann;1910
grimm;kind;1910
grosse;isidor;1910
hacklaender;naechte;1910
halm;lise;1910
hartmann;gebirge;1910
hauff;ratskeller;1910
heyden;john;1910
heyse;weinhueter;1910
hoefer;rekrut;1910
hoffmann;scuderi;1910
holtei;saloppel;1910
horner;saeugling;1910
immermann;carneval;1910
kaehler;schwestern;1910
keller;dorfe;1910
kinkel;margret;1910
kinkel;orthodoxie;1910
kleist;verlobung;1910
kompert;verlorene;1910
kopisch;karnevalfest;1910
kopisch;traeumer;1910
kruse;freundschaft;1910
kuernberger;drache;1910
kugler;incantada;1910
kurz;tubus;1910
lewald;tante;1910
lohmann;hochkirch;1910
lorm;fraeulein;1910
ludwig;gericht;1910
meissner;hoeft;1910
meyr;schwachen;1910
moerike;mozart;1910
muegge;fjord;1910
mueller;debora;1910
pichler;fluechtling;1910
raabe;recht;1910
reich;mammon;1910
riehl;muckenhuber;1910
roquette;schlangenkoenigin;1910
rumohr;savello;1910
sacher;kolomea;1910
schefer;duevecke;1910
scheffel;hugideo;1910
schmid;mohrenfranzl;1910
schreyvogel;liebesgeschichte;1910
schuecking;schwester;1910
spindler;engel;1910
stifter;brigitta;1910
storm;malerarbeit;1910
tesche;piet;1910
tieck;gemaelde;1910
tieck;ueberfluss;1910
traun;gebirgspfarrer;1910
ungern;scholastika;1910
waldmueller;allein;1910
wallner;josy;1910
wichert;grita;1910
widmann;muehle;1910
wilbrandt;ohlerich;1910
wildermuth;streit;1910
wild;wege;1910
wolff;selbstsucht;1910
wolf;schoenheit;1910
ziegler;ernte;1910
zschokke;gast;1910
