	topic	score
7	7	0.6717047217247738
5	5	0.5332560333219125
32	32	0.46256446698351716
14	14	0.4596902363756662
6	6	0.4314150381607541
21	21	0.42896886691853914
0	0	0.42170427799951427
26	26	0.42100121349994757
30	30	0.4074782816954513
15	15	0.3858050862175071
16	16	0.37731419606035854
13	13	0.37521674783475184
8	8	0.3581530871274977
17	17	0.35347192900985247
28	28	0.3446962405709212
20	20	0.3432699137052809
1	1	0.3385482589535139
2	2	0.3360008096727622
29	29	0.3346597462939781
22	22	0.3313123325545796
37	37	0.32737615377437895
10	10	0.3263706442358144
39	39	0.32600105291059256
3	3	0.3242696063029921
24	24	0.32268191157549386
23	23	0.32178857415557194
25	25	0.3192659066506536
11	11	0.3107742917062789
27	27	0.30210729846247314
31	31	0.29602490547311466
12	12	0.2919645013489411
35	35	0.29150693579005527
36	36	0.28495511070720736
18	18	0.28302976614800357
19	19	0.2678780465520404
34	34	0.2627066870979174
9	9	0.25037144981992066
33	33	0.24612342250957142
38	38	0.23844955276789226
4	4	0.19532542767330377
