	0	1	2	3	4	5	6	7	8	9
shape	0.0007137759821489453	0.009516673162579536	0.0	0.0	0.0	0.0007137759239412844	0.0	0.0	0.0	0.0
memory	0.0007137759821489453	0.01219746470451355	0.0	0.0	0.0	0.0007137759239412844	0.0	0.0	0.0	0.0
reading	0.0007137759239412844	0.0	0.0	0.0007137759239412844	0.0	0.0007137759821489453	0.0	0.0	0.0	0.03670775145292282
other	0.0007137759239412844	0.004155084956437349	0.005249290727078915	0.0007137759239412844	0.0	0.0007137759239412844	0.00409157108515501	0.0	0.0	0.0
fabrics	0.0007137759239412844	0.005495483987033367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chinese	0.0007137759239412844	0.013537857681512833	0.007809990085661411	0.0007137759821489453	0.0	0.0007137759821489453	0.003093590261414647	0.0007137759239412844	0.0	0.028595512732863426
team	0.0007137759239412844	0.0	0.0	0.0	0.0	0.0007137759239412844	0.00409157108515501	0.0	0.0	0.0
writing	0.0007137759239412844	0.0	0.0	0.0007137759239412844	0.0	0.0007137759239412844	0.0	0.0	0.0	0.022511335089802742
students	0.0007137759239412844	0.030962981283664703	0.011651035398244858	0.0007137759821489453	0.020514637231826782	0.0007137759821489453	0.017065275460481644	0.0007137760985642672	0.011434980668127537	0.0
support	0.0007137759239412844	0.01219746470451355	0.0	0.0007137759239412844	0.0	0.0007137759239412844	0.00409157108515501	0.0007137759821489453	0.0	0.004258777480572462
hand	0.0007137759239412844	0.0	0.012931381352245808	0.0007137759239412844	0.0	0.0007137759239412844	0.0	0.0	0.0	0.0
research	0.0007137759239412844	0.004155085422098637	0.003968939650803804	0.0007137759239412844	0.01312192901968956	0.0007137759239412844	0.00409157108515501	0.0	0.0	0.0062868474051356316
system	0.0007137759239412844	0.0	0.012931381352245808	0.0007137759239412844	0.0	0.0007137759239412844	0.0	0.0	0.0	0.0
sensory-motor	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
sensitivity	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0
screening	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0
scientific	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0
schoolchildren	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relying	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0
shells	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
same	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
responsible	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
researchers	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062868474051356316
remediation	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004258777480572462
remediate	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
units	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0
samples	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
shown	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
skills	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137759239412844	0.0	0.0007137758657336235	0.0	0.012371036224067211
siok	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
read	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010342974215745926
true	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.004258777480572462
theory	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.004258777480572462
tests	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0
tel	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0	0.0	0.004258777480572462
tan	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
syllables	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0
supported	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
simple	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
suitable	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sufficient	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0
structure	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.004258777480572462
strategies	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0062868474051356316
status	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spoken	0.0007137758657336235	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0062868474051356316
speech	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0
speaking	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0	0.0	0.0
relationship	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
suggests	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0007137758657336235	0.0	0.0007137758657336235	0.0	0.0
measures	0.0007137758657336235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
years	0.0	0.01219746470451355	0.0	0.0007137759239412844	0.0	0.0007137759239412844	0.0	0.0007137759239412844	0.0	0.004258777480572462
