	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	students	please	food	patients	health	support	team	quality	growth	cent	public	research	research	research	gambling	cancer	students	respondents	design	stroke
1	business	exhibition	species	risk	care	ceremony	gold	air	year	survey	research	technology	human	years	fabric	patients	school	survey	fashion	patients
2	year	event	data	treatment	elderly	development	light	year	quarter	last	development	engineering	cells	chinese	gamblers	liver	learning	study	space	children
3	programmes	hku.hk	new	study	social	donation	energy	index	forecast	respondents	environmental	project	team	contributions	textile	treatment	schools	more	system	eye
4	programme	students	fish	disease	services	research	memory	life	rate	market	conference	system	virus	award	system	new	secondary	people	project	study
5	education	public	marine	diabetes	service	community	system	pollution	estimated	percent	lecture	industry	influenza	recognition	water	surgery	teachers	findings	developed	brain
6	academic	held	scientists	blood	people	training	special	study	grow	property	issues	data	study	member	marginal	screening	children	level	new	myopia
7	graduates	email	team	diseases	public	services	electrical	health	increase	housing	international	development	genetic	outstanding	fabrics	surgical	language	family	researchers	contact
8	new	http	research	drug	medical	staff	device	score	current	rate	global	technologies	cell	degree	new	clinical	education	public	buildings	psychosis
9	world	members	physics	heart	life	establishment	research	indicators	goods	residential	community	new	new	distinguished	pathological	blood	parents	results	industry	lenses
10	industry	chinese	neutrino	clinical	community	generous	materials	performance	exports	confidence	world	team	infection	awarded	special	test	reading	conducted	building	people
11	student	enquiries	first	years	research	chinese	project	research	real	economic	local	information	researchers	education	researchers	early	student	government	drug	system
12	international	contact	waves	children	mental	education	researchers	public	retail	interest	sustainable	projects	disease	international	technology	cases	chinese	other	designers	vision
13	more	ceremony	spatial	factors	healthcare	new	held	better	expected	high	education	applications	diseases	many	project	therapy	teaching	month	other	treatment
14	years	more	universe	high	physical	campus	examination	worse	economic	prices	knowledge	systems	viruses	development	soybean	cancers	skills	smoking	first	using
15	first	amp	neutrinos	results	patients	collaboration	other	overall	projected	conditions	share	such	published	academic	research	diagnosis	programme	such	such	more
16	top	first	detectors	body	family	provide	power	higher	economy	important	environment	chinese	other	including	bridge	breast	activities	support	water	team
17	research	media	years	research	professionals	established	different	environmental	last	more	more	developed	findings	awards	design	high	subjects	years	works	such
18	development	tel	nuclear	such	population	members	new	government	demand	income	members	researchers	genes	first	treatment	women	life	suicide	using	visual
19	universities	details	trade	drugs	training	today	water	compared	spending	months	change	innovative	gene	members	u-21	hepatitis	year	rate	solar	hearing
20	tourism	alumni	electron	subjects	project	facilities	control	improved	first	public	experts	products	protein	world	cotton	patient	primary	current	textiles	voice
21	university	today	hku.hk	severe	quality	professional	shape	rate	investment	construction	future	software	novel	work	editing	detection	experience	work	tool	lens
22	global	time	study	early	intervention	help	workers	economic	whole	conducted	management	science	important	community	youths	disease	other	compared	team	glaucoma
23	management	campus	plant	common	support	medical	medals	according	unemployment	better	including	network	scientists	achievements	quality	bowel	mathematics	average	sponsored	pain
24	study	visit	mass	age	nursing	projects	invention	levels	second	expected	social	application	molecular	honorary	resistance	non-invasive	different	significant	energy	device
25	amp	cultural	matter	symptoms	dementia	set	winning	satisfaction	consumption	price	chinese	advanced	journal	appointed	sea	study	knowledge	time	surface	rehabilitation
26	other	including	nutrition	control	society	years	awards	shows	inflation	good	green	applied	biology	teaching	process	testing	social	found	technology	disorders
27	degree	year	results	more	programme	sports	fabric	civil	service	impact	economic	collaboration	such	number	structure	advanced	more	sex	designed	images
28	including	activities	international	associated	ageing	teaching	process	indicates	imports	next	today	platform	respiratory	published	soybeans	first	study	figures	air	neck
29	teaching	information	gravitational	medical	education	gratitude	pollution	points	compared	overall	speakers	monitoring	development	field	synthesis	risk	admitted	rating	construction	degeneration
30	institutions	participants	more	cardiovascular	problems	mainland	more	noise	forecasts	local	climate	time	infections	conferred	high	lung	curriculum	working	development	swallowing
31	mainland	art	energy	chinese	needs	agreement	time	data	consumer	buy	policy	optical	understanding	served	products	tumor	science	social	maintenance	high
32	opportunities	website	media	failure	help	building	textile	assessment	services	job	scholars	areas	led	significant	such	more	academic	age	lunar	cases
33	exchange	opening	particles	group	families	deaf	fabrics	pollutants	sales	recent	government	including	genome	science	development	bone	participating	half	urban	results
34	professional	free	news	dental	more	held	inventions	results	market	increase	participants	computer	work	causa	undertaken	common	performance	death	exploration	medical
35	experience	culture	discovery	higher	participants	centre	members	years	percentage	planning	promote	analysis	viral	elected	measurement	years	programmes	residents	show	problems
36	undergraduate	other	plants	weight	healthy	service	competition	team	total	time	new	more	scientific	scientific	novel	invasive	help	in-between	structural	years
37	knowledge	works	oil	obesity	prevention	sign	entries	new	half	results	other	sensing	international	honour	maturation	survival	including	performance	research	first
38	outstanding	world	other	population	knowledge	providing	sky	impact	drop	positive	first	management	potential	degrees	material	research	admission	above	special	research
39	competition	pm	analysis	patient	group	signing	such	measure	due	real	amp	enhance	found	journals	scientists	technique	such	views	materials	head
40	studies	series	coastal	pressure	promote	serve	human	same	same	according	challenges	funding	transmission	recipients	method	such	local	different	working	acupuncture
41	learning	various	understanding	studies	awareness	supporting	applications	reference	external	quarter	held	computing	leading	honoured	unique	novel	english	major	process	symptoms
42	financial	history	important	sleep	diseases	donations	developed	situation	shoppers	land	different	control	animal	appointment	human	prenatal	various	abuse	apparel	injury
43	staff	invited	detector	prevalence	provide	special	high	increase	period	http	urban	innovation	http	papers	events	surgeons	average	response	innovative	assessment
44	offered	arts	agricultural	stroke	management	appreciation	won	policy	employment	same	views	design	vaccine	presented	cancer	conventional	score	sexual	various	progression
45	support	p.m.	world	complications	psychological	efforts	body	based	quarterly	residents	countries	quality	infectious	prestigious	drug	procedures	summer	report	textile	other
46	quality	years	http	chronic	improve	team	international	areas	retailers	expectations	sustainability	develop	mechanisms	service	impact	robotic	educational	having	knitwear	disc
47	offers	life	biodiversity	year	practice	rehabilitation	including	youth	global	future	details	using	coronavirus	various	developed	rate	results	overall	wind	prevalence
48	today	new	such	months	anxiety	clinical	surface	water	private	employment	forum	different	proteins	year	nano	colorectal	campus	according	led	image
49	leaders	organized	measurement	people	local	activities	solar	scores	continue	released	programme	world	pandemic	leading	home	results	university	measures	collaboration	researchers
