	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
students	0.029177938	0.007502284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07234753	0.0	0.0	0.0
business	0.011342345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
year	0.010771838	0.0043710954	0.0	0.002638443	0.0	0.0	0.0	0.015926432	0.016787594	0.0	0.0	0.0	0.0	0.0029725719	0.0	0.0	0.004848825	0.0	0.0	0.0
programmes	0.010473652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034985843	0.0	0.0	0.0
programme	0.010005709	0.0	0.0	0.0	0.004508552	0.0	0.0	0.0	0.0	0.0	0.0029532025	0.0	0.0	0.0	0.0	0.0	0.005379336	0.0	0.0	0.0
education	0.008901274	0.0	0.0	0.0	0.0043199514	0.008823718	0.0	0.0	0.0	0.0	0.0050050714	0.0	0.0	0.0071058655	0.0	0.0	0.008230439	0.0	0.0	0.0
academic	0.007577583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006494333	0.0	0.0	0.0039142924	0.0	0.0	0.0
graduates	0.0073713665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
new	0.0071262377	0.0025891592	0.0068725264	0.0	0.0	0.008307086	0.0038293716	0.0031468053	0.0	0.0	0.0034546724	0.007480072	0.0056524724	0.0	0.0055986634	0.013616167	0.0	0.0	0.006699977	0.0
world	0.007000461	0.0030585704	0.0025617194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053604254	0.0025398082	0.0	0.005671447	0.0	0.0	0.0	0.0	0.0	0.0
industry	0.006394009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008292868	0.0	0.0	0.0	0.0	0.0	0.0	0.0053651463	0.0
student	0.0059172753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062564863	0.0	0.0	0.0
international	0.0054803467	0.0	0.002955209	0.0	0.0	0.0	0.0022458076	0.0	0.0	0.0	0.0059278924	0.0	0.0029018156	0.0068616057	0.0	0.0	0.0	0.0	0.0	0.0
more	0.0054682107	0.005648991	0.0028873559	0.00360101	0.0040418636	0.0	0.0028738372	0.0	0.0	0.0049749534	0.0043647788	0.0031196969	0.0	0.0	0.0	0.0033739605	0.0042370153	0.007834553	0.0	0.004306881
years	0.0053836005	0.0026663772	0.003353913	0.005767893	0.0	0.0050823153	0.0	0.0033962922	0.0	0.0	0.0	0.0	0.0	0.013434321	0.0	0.0031950073	0.0	0.0037395584	0.0	0.0026167738
first	0.004949162	0.0054336893	0.004549373	0.0	0.0	0.0	0.0	0.0	0.0063111056	0.0	0.0033770383	0.0	0.0	0.005778883	0.0	0.0035999478	0.0	0.0	0.004260167	0.0025968347
