	topic	score
35	35	0.8613448431445804
25	25	0.7366552755611128
18	18	0.728206246140475
42	42	0.7044470373788531
49	49	0.6889853634838183
12	12	0.6813801246197195
39	39	0.6732503299939172
31	31	0.6696118768897308
16	16	0.6526177354042931
37	37	0.6471303037893203
7	7	0.6448355764002078
14	14	0.6276159445348936
27	27	0.5863055474420065
8	8	0.5731143197930378
20	20	0.5616288997435153
6	6	0.5603516719806418
22	22	0.5532973687816547
0	0	0.5532394827501415
24	24	0.5472265088967656
1	1	0.5439079985399833
43	43	0.5432305505021833
26	26	0.5404212112311344
21	21	0.5344322004694544
46	46	0.5341105828918138
13	13	0.5295641326659567
47	47	0.5236448193118195
48	48	0.5008903744097932
4	4	0.4990096591220115
2	2	0.487484722291312
36	36	0.4677199123859811
28	28	0.4474158010894148
17	17	0.4422818128777529
38	38	0.425015750109079
44	44	0.4133872923869989
5	5	0.40122678526014904
30	30	0.38265648717791023
45	45	0.3718362845565264
32	32	0.3596817412442617
3	3	0.35725780130842477
11	11	0.355854105365763
9	9	0.35086674249794625
10	10	0.3455718957841513
15	15	0.3432672616427006
40	40	0.34281768815254615
33	33	0.33966804633986447
19	19	0.33702976536484314
23	23	0.32756691911832087
34	34	0.3174593274155777
41	41	0.24715208695618057
29	29	0.192655048311638
