;idno;univ;year;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;cu0001;CUHK;2010;0.7354486584663391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1672290414571762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02037197910249233;0.0;0.0;0.0;0.0;0.0;0.013576697558164595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036505062133073814;0.0;0.012695481069386005;0.0;0.0;0.0;0.0;0.0
1;cu0006;CUHK;2010;0.0;0.0;0.4520285725593567;0.0;0.10044170916080476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1309259533882141;0.0;0.0;0.013591807335615158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1993351131677628;0.08879388123750688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;cu0009;CUHK;2010;0.0;0.0;0.0;0.0;0.09253973513841628;0.0;0.04331621900200844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04716601222753525;0.022563256323337555;0.07116739451885222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03332022950053215;0.0;0.0;0.032925382256507874;0.0;0.058209698647260666;0.0;0.04354438558220863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06312774866819383;0.4809121191501618;0.0;0.0
3;cu0013;CUHK;2010;0.0;0.04275749996304512;0.0;0.0;0.31450989842414856;0.0;0.0;0.07559595257043839;0.0;0.0;0.0;0.0;0.0;0.5536045432090759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010096878744661808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;cu0014;CUHK;2010;0.0;0.2681976556777954;0.0;0.0;0.0;0.0;0.0;0.2048088759183884;0.0;0.0;0.0;0.0;0.0;0.041827872395515435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12243690341711044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3539140522480011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;cu0017;CUHK;2010;0.34686797857284546;0.0;0.0;0.2756737172603607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09131097793579103;0.0;0.0;0.0;0.0;0.18326404690742493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07509312778711319;0.0;0.013751745223999023;0.0;0.0;0.0;0.0;0.0
6;cu0018;CUHK;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17317509651184082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8208620548248291;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;cu0020;CUHK;2010;0.0;0.44622862339019775;0.07274388521909714;0.0;0.0;0.0;0.0;0.0;0.014013800770044329;0.039172157645225525;0.0;0.0;0.0;0.04302066564559937;0.0;0.0;0.02086976170539856;0.0;0.0;0.0;0.0;0.0;0.01101926900446415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024589965119957924;0.0;0.0;0.0;0.0;0.0;0.0;0.2264547646045685;0.02367578074336052;0.019853603094816208;0.0;0.021970545873045918;0.0;0.0;0.0;0.0;0.0;0.0;0.023681102320551872;0.0
8;cu0021;CUHK;2010;0.0;0.0;0.0;0.041016530245542526;0.0;0.0;0.0;0.0;0.0;0.0;0.06955362111330032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.335249125957489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22462745010852814;0.0858105942606926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2272419035434723;0.0;0.0
9;cu0026;CUHK;2010;0.0;0.0;0.07618492096662521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2281841486692429;0.0;0.0;0.0;0.14847055077552795;0.0;0.0;0.0;0.2551364600658417;0.0;0.0;0.0;0.0;0.0;0.20705856382846832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04563543200492859;0.034476105123758316;0.0;0.0;0.0;0.0;0.0
10;cu0027;CUHK;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.6770361661911011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05814667418599129;0.0;0.0;0.0;0.0;0.0;0.01799304038286209;0.0;0.0730486735701561;0.0;0.0;0.0;0.0;0.0;0.04850909486413002;0.0;0.0;0.0;0.11183980852365494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;cu0028;CUHK;2010;0.0;0.07557365298271179;0.0;0.10747428238391876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034238200634717934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03482367843389511;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1839713305234909;0.0;0.33617445826530457;0.0;0.10199523717164992;0.0;0.0909106433391571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017791079357266426
12;cu0030;CUHK;2010;0.2497202157974243;0.0;0.0;0.033297158777713776;0.0;0.05288645625114441;0.0;0.016426462680101398;0.0;0.0;0.0;0.0;0.0;0.0;0.04489661753177643;0.0;0.0;0.0;0.0;0.01755189150571823;0.03122461773455143;0.0;0.0;0.035659708082675934;0.011002907529473305;0.0;0.0;0.022672925144433972;0.0;0.0;0.0;0.0;0.0;0.0;0.25156378746032715;0.0;0.0;0.21972878277301788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;cu0033;CUHK;2010;0.0;0.03162772208452225;0.16366909444332126;0.0;0.0;0.015793701633810997;0.0;0.0;0.0;0.0;0.020308466628193852;0.0;0.0;0.17255249619483948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49118971824646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07836179435253142;0.0;0.0;0.0;0.0;0.012383688241243362
