	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
public	0.014618688262999058	0.0	0.0	0.002992036286741495	0.0	0.0063052307814359665	0.0	0.0	0.0	0.0	0.004045197274535894	0.0	0.0	0.0	0.014440239407122135	0.0	0.0	0.0	0.003837717231363058	0.0	0.0	0.006140924524515867	0.006224671378731728	0.0	0.0	0.0187310129404068	0.0	0.0	0.0	0.0	0.0092161288484931	0.0	0.0	0.008423150517046452	0.009995386004447937	0.0	0.0	0.003481194144114852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008294672705233097	0.0	0.0	0.0	0.0
lecture	0.014123378321528435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
conference	0.009398668073117733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032596264500170946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
held	0.007811063434928656	0.00475827232003212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008615403436124325	0.0	0.006462186574935913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048537165857851505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029164375737309456	0.005569521337747574	0.0	0.0	0.0	0.0	0.0	0.007560963276773691	0.0
including	0.007535235024988651	0.003953854087740183	0.004082344006747007	0.0027573364786803722	0.0	0.0	0.0	0.00507476506754756	0.0	0.0	0.0	0.0	0.0	0.0	0.003635427914559841	0.0	0.0	0.0	0.0	0.0023762306664139032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00337821408174932	0.0	0.0024138663429766893	0.0	0.0	0.0	0.0	0.0	0.007809007540345192	0.0	0.0	0.003360612317919731	0.0032150254119187593	0.0	0.0	0.0	0.0	0.005277253221720457	0.0027638357132673264	0.0	0.0
world	0.00712171196937561	0.0	0.003858645213767886	0.0	0.0	0.0049596261233091354	0.0	0.0	0.013824223540723324	0.0	0.0	0.0	0.0037545165978372097	0.011227643117308617	0.0	0.0	0.0	0.0	0.0	0.0	0.02501538023352623	0.0	0.0	0.0038008757401257753	0.0	0.0	0.0	0.0	0.011064978316426277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006341312080621719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027097633574157953	0.0	0.0
share	0.007025511935353279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
international	0.00702272355556488	0.0	0.003235811134800315	0.0	0.0	0.0029329911340028048	0.0	0.0044429418630898	0.006124192848801613	0.0	0.0	0.0	0.004065509419888258	0.008599460124969482	0.0	0.0	0.0	0.0	0.0	0.0	0.010706138797104359	0.00344797782599926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005011934321373701	0.008663760498166084	0.0	0.003913292195647955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004104683641344309
education	0.0068700662814080715	0.008977747522294521	0.0	0.0	0.008173145353794098	0.0	0.0	0.010809803381562233	0.021097367629408836	0.0	0.0	0.0	0.0	0.0033671839628368616	0.0	0.0	0.0	0.0	0.0	0.0	0.006417532917112112	0.0	0.0	0.0	0.0	0.0040339259430766106	0.0	0.006109408102929592	0.0	0.0	0.009800544008612633	0.0	0.0	0.007276921533048153	0.0	0.0	0.006897755898535252	0.009117638692259789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007554424460977316	0.0	0.0	0.0
visit	0.00669341953471303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008735554292798042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01013296190649271	0.0	0.0	0.0032095792703330517	0.0037483691703528166	0.0	0.0	0.0
