	idno	univ	year	date	title	count	0	2	4	1	3	6	7	9	8	5
0	pu2252	PolyU	2012	2012-02-22	"$10 million boost for ""PolyU – Henry G. Leong Mobile Integrative Health Centre"""	1	0.12619682	0.7949708	0.07433712	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	pu1197	PolyU	2009	2009-08-23	PolyU participates in the First SPINEXPO New York International Trade Fair	1	0.3510845	0.0	0.0	0.32107237	0.32322204	0.0	0.0	0.0	0.0	0.0
2	cu1849	CUHK	2014	2014-07-24	Survey Findings on Evaluation of Political Parties in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK	1	0.0	0.07267023	0.0	0.0	0.15529919	0.38838074	0.28352833	0.09830023	0.0	0.0
3	hu0426	HKU	2008	2008-04-08	Work Life Balance in Hong Kong Survey Results	1	0.03156049	0.0	0.54677355	0.4206396	0.0	0.0	0.0	0.0	0.0	0.0
4	cu3754	CUHK	2003	2003-04-14	Schools Against SARS	1	0.8298235	0.0	0.0	0.14635944	0.0	0.0	0.022739718	0.0	0.0	0.0
5	pu2018	PolyU	2010	2010-12-15	PolyU hosts the First International Conference on Sustainable Urbanization	1	0.0	0.31697446	0.4853174	0.0	0.0	0.0	0.15968688	0.0	0.032440536	0.0
6	cu3154	CUHK	2005	2005-08-18	Inventor of Laser Charles Townes Lectures at the Chinese University	1	0.0	0.0	0.0	0.0	0.086163945	0.0	0.056211244	0.85514724	0.0	0.0
7	pu2511	PolyU	2013	2013-05-07	Asia Pacific Initiative Programme launches	1	0.6955205	0.0	0.0	0.11173189	0.029222058	0.0	0.07028081	0.031564042	0.060918912	0.0
8	pu0402	PolyU	2003	2003-07-07	PolyU honours winning secondary school teams in E-Shop Competition	1	0.21720837	0.0	0.0	0.0	0.57890576	0.0	0.0	0.0	0.2007544	0.0
9	pu2121	PolyU	2011	2011-07-08	"Major forum sheds light on the future of ""Shenzhen-HK Innovation Circle"""	1	0.08517258	0.0	0.0	0.0	0.10085536	0.0	0.23702316	0.5754415	0.0	0.0
10	pu1021	PolyU	2008	2008-07-17	PolyU's environmental improvement project receives support of HSBC	1	0.0	0.0	0.0	0.0	0.0	0.0	0.6918492	0.30587617	0.0	0.0
11	cu1204	CUHK	2011	2011-12-16	CUHK Vice-Chancellor Professor Joseph Sung Elected Academician of the Chinese Academy of Engineering The Only Hong Kong Scientist to Receive the Honour this Year	1	0.45408526	0.0	0.3002496	0.0	0.0	0.0	0.0	0.0	0.23883827	0.0
12	cu2269	CUHK	2016	2016-05-24	CUHK and HKU Researchers Introduce 3D Printing Technology in Complex Cardiac Surgery Procedures	1	0.30384955	0.086402714	0.29586655	0.0	0.0	0.0	0.27411997	0.03835411	0.0	0.0
13	cu1720	CUHK	2013	2013-12-18	CUHK SHKDI holds Dr. Li Dak Sum Shanghai-Hong Kong Development Lecture and Cheque Presentation Ceremony Today Mr. Andrew Sheng Speaks on Financial Development in Shanghai and Hong Kong	1	0.6191756	0.0	0.062282935	0.1898189	0.0	0.1277203	0.0	0.0	0.0	0.0
14	pu1754	PolyU	2005	2005-07-27	PolyU wins international acclaim on alumni development and fund-raising	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99670774	0.0	0.0
15	pu1090	PolyU	2008	2008-12-31	PolyU dedicates a tree to long-serving President	1	0.25196716	0.0	0.0	0.658777	0.0	0.0	0.031121664	0.056562092	0.0	0.0
16	pu0745	PolyU	2006	2006-12-18	PolyU DBA on the world map with its 10th anniversary	1	0.4780624	0.10509861	0.4139597	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	pu2222	PolyU	2012	2012-01-08	PolyU Optometry Expert Proves the Effectiveness of Orthokeratology in Myopic Control	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99731547	0.0	0.0
18	pu0837	PolyU	2007	2007-05-08	PolyU staged first forum on China hotel and tourism development in New York	1	0.2874598	0.35295126	0.0	0.17248224	0.0	0.0	0.18566945	0.0	0.0	0.0
19	pu0953	PolyU	2008	2008-01-17	PolyU to host first international symposium of intimate apparel	1	0.35883483	0.07014554	0.56717306	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	cu1650	CUHK	2013	2013-10-11	CUHK Innovates ‘Authenticated Paper’ To be Exhibited in Hong Kong Electronics Fair	1	0.41630235	0.5765831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	pu1118	PolyU	2009	2009-03-02	PolyU Graduate School of Business Organises Information Seminars on DBA &amp; MBA Programmes	1	0.088302016	0.21196064	0.0	0.2437916	0.0	0.0	0.36304742	0.09168855	0.0	0.0
22	cu3449	CUHK	2004	2004-08-06	Professor Leung Yuen Sang appointed as Head of Chung Chi College of CUHK	1	0.0	0.0	0.0	0.02001412	0.0	0.107016906	0.36319235	0.5078248	0.0	0.0
23	pu1985	PolyU	2010	2010-10-28	PolyU pays tribute to six distinguished Chinese scholars	1	0.0	0.0	0.40157288	0.0	0.0	0.0	0.0	0.0	0.5944988	0.0
24	cu0724	CUHK	2007	2007-04-02	New Study Demonstrates Telbivudine’s Superiority to  Adefovir in Hepatitis B Treatment	1	0.21411556	0.0	0.0	0.0	0.5949236	0.11943085	0.0	0.07036912	0.0	0.0
25	hu0675	HKU	2015	2015-09-30	HKU Council Chairman Dr Leong Che-hung responds to media enquiries about Council Member Mr Billy Fung’s disclosing discussions at meeting	1	0.34233493	0.0	0.65589523	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	cu1889	CUHK	2014	2014-09-28	Vice-Chancellor's message to all staff and students	1	0.47601423	0.0	0.28787583	0.15519449	0.0525954	0.0	0.0	0.0	0.027310362	0.0
27	pu6160	PolyU	2015	2015-11-03	PolyU to honour five distinguished personalities at 21st Congregation	1	0.35466495	0.0	0.6384497	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	pu0905	PolyU	2007	2007-10-22	PolyU and Warwick jointly hold the Fifteenth Congregation for Integrated Engineering Business Management Programme	1	0.39995113	0.44069937	0.0	0.068774566	0.0	0.0	0.089565165	0.0	0.0	0.0
