	0	1	2	3	4	5	6	7	8	9
research	0.02138895	0.0	0.0	0.01764818	0.0050170785	0.0	0.011799638	0.0035404754	0.0	0.0057359184
development	0.011620577	0.0	0.0	0.003640773	0.0	0.0	0.0028350237	0.0	0.0	0.0
chinese	0.0104001695	0.0	0.006963585	0.0	0.0	0.0	0.0	0.0	0.0	0.0
education	0.009675454	0.004370865	0.0	0.0	0.0050973482	0.0	0.0	0.004703968	0.0	0.0
support	0.009226595	0.0033559348	0.0	0.0	0.0	0.0	0.0	0.0041201473	0.0	0.0
years	0.008450473	0.0037363046	0.0	0.0021375066	0.0	0.0	0.0	0.0027933111	0.0	0.004315078
community	0.0068000057	0.0	0.004850048	0.0	0.0	0.0	0.0	0.0040813107	0.0	0.0
ceremony	0.0063101565	0.0030657386	0.0050251135	0.0	0.0	0.0	0.0	0.0	0.0	0.0
industry	0.006295251	0.0	0.0	0.0022638007	0.0	0.0	0.0022317034	0.0	0.0	0.0
academic	0.005669331	0.006294554	0.0	0.0	0.002712921	0.0	0.0	0.0	0.0	0.0
contributions	0.005546694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
world	0.0053804647	0.0	0.0	0.0	0.009267099	0.0	0.0018126972	0.0	0.0	0.0
international	0.005205369	0.0028490664	0.0	0.0	0.0073814653	0.002287752	0.0	0.0	0.0	0.0
first	0.0051174816	0.0046105497	0.003854777	0.0035549907	0.0032282616	0.0035448212	0.0019090347	0.0	0.003993953	0.0030414187
including	0.004881778	0.004011664	0.0043500443	0.0025952659	0.002811293	0.0	0.001852328	0.0	0.0	0.0
new	0.0046751867	0.0059791384	0.0	0.0053959205	0.0050264862	0.003631993	0.00787862	0.0	0.0	0.004675177
recognition	0.004421079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
teaching	0.0044190353	0.0	0.0	0.0	0.0027282373	0.0	0.0	0.0	0.0	0.0
members	0.004373318	0.0	0.0036764364	0.0	0.0051182043	0.0	0.0	0.0	0.0	0.0
many	0.004305442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
students	0.003962056	0.054458305	0.0038759087	0.0	0.0030923723	0.0	0.0	0.0063917427	0.0	0.0
outstanding	0.0039374097	0.0035838734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
member	0.0038386625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
degree	0.0038043745	0.0033050943	0.0	0.0	0.0	0.0030750125	0.0	0.0	0.0	0.0
today	0.0036668372	0.0	0.0034670332	0.0	0.0044938307	0.0	0.0	0.0	0.0	0.0
