	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	müller	fritze	liesbeth	frau	wasser	bäcker	euch	zeit	pfarrer	manch	euch	küster	pfarrer	major	novelle	rief	postillion	herr	eremit	marquis
1	lehrer	nonne	herrn	vater	schmuck	pastor	schmuck	selvar	sali	körper	kutscher	küsterei	trab	rumohr	jahre	augen	richter	hahn	wagen	general
2	wirth	heiligen	ersten	alles	blumen	gehört	marquise	heiligen	mädchen	streit	herrn	namen	nöt	haide	dichter	hand	kopisch	papa	mr	könig
3	justizrath	irrwisch	lieutenant	zeit	stadtschreiber	männer	städtchen	aller	liesbeth	arbeit	see	mr	manch	pythagoras	erzählungen	ging	galgen	pfarrer	halm	heister
4	weit	stadt	mr	mann	ruf	erklärte	jansen	großen	weg	küster	sagt	pfarrer	eremit	sali	novellen	alles	august	klarinett	kutscher	küster
5	kuh	stufen	bilder	liebe	munde	schuster	kahlkopf	rechten	wasser	gewissen	bittschrift	schwägerin	dame	sidonie	erzählung	stand	husar	hauptmann	franzosen	gerichtshalter
6	aller	schnee	küster	sagen	mr	kutscher	landrichter	grossinger	boden	selvar	darf	sieht	erzählung	wild	geboren	nacht	fast	todten	eichendorff	vicomte
7	actuar	fühlt	jahren	machen	grüne	küster	euer	vicomte	meßner	tranken	herzog	monseigneur	turner	versammlung	geschichte	herr	geständniß	bürgermeister	einsamkeit	aloys
8	schatten	tambourin	london	herr	brunnen	sardok	juwelen	prinzessin	etwas	werl	griechen	schreibers	musik	cultur	talent	alte	denkmäler	oberst	pastor	schweden
9	hie	kastenverwalter	kohle	gut	eremit	schreiber	kästchen	wolfsind	heute	senator	mr	wittwe	schnee	ritt	ersten	euch	stallgebäude	hofrichter	hacken	vermittelung
10	gefährten	dritte	segel	mutter	kunst	jäger	besten	kunst	offiziere	croix	magd	schreiber	geschildert	häuschen	roman	gesicht	gesichter	prince	jahrhunderts	weit
11	offiziere	nonnen	jahre	alte	ganze	fuhrmann	böelappe	anblick	gläser	wein	gehe	balg	glümer	persönliche	reihe	mutter	postillon	weißen	mochten	hunde
12	ausgedinge	zweite	jahr	leben	sauber	manche	franzosen	neuen	grossinger	judas	brave	bruch	schöffe	stellen	bände	ließ	art	port	capitän	enkelin
13	hengst	feodora	nichte	lassen	suppe	pfarrer	großen	schienen	geige	juwelen	einige	tubus	mr	zahl	dichters	mann	ausführung	möwenweiher	ueberfluß	kellermeister
14	jüngere	bild	verwalter	muß	exili	koal	pfarrer	waldbruder	besten	unglücklichen	wißt	weise	grade	schlemihl	kraft	kein	gerichtet	käse	ideal	bücher
15	bilder	julio	aehnlichkeit	recht	leffert	brandes	mr	köchin	deutsche	herren	sage	feodora	schwert	wichert	natur	schien	paradise	herzog	wollt	professor
