	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	fränz	bäbe	novelle	grimhilde	conrectorin	vicomte	strintillo	wagen	doctor	francoeur	bantes	küster	sali	liesbeth	moidi	josseph	bertold	alles	vermittelung	reitknecht	toni	breteuil	checco	john	fritz	pfarrer	jahre	fränz	agenore	ufer
1	marquis	claudine	spendvögtin	koppigen	vetter	actuar	ciccio	williams	olivier	rosalie	herr	hedeper	vrenchen	düvecke	andree	madlena	piet	hand	bild	könig	hoango	artois	wald	andern	stureson	liesbeth	mühle	munde	frau	theobald
2	amtsverweser	pfarrerin	stößli	hunde	frau	kunst	granco	london	marquis	commandanten	don	küsterei	klemenz	torbern	rosine	großmutter	mynheer	rief	väter	olivier	neger	euch	strohmer	chef	lieschen	fischele	baruch	diethelm	ersilia	einzelnen
3	leben	sibylle	tieck	pferde	ansas	stadt	muhme	ersten	brusson	anntrin	hahn	meierin	mutter	jüngling	meran	müller	don	vater	kunst	mr	strömli	marquis	gott	gefährten	rief	hugideo	dichter	franzel	donna	müller
4	wald	henriot	novellen	roß	vetterchen	che	don	pfarrer	professor	teufel	gast	wittwe	jahre	pfarrer	rosel	bauer	müller	augen	habermus	ohnegrund	fremde	hatten	schatz	schiff	landrichter	theobald	schule	rappen	urballa	lauson
5	staatsanwalt	pfarrer	lebens	junker	grita	mohrenfranzel	jahre	pferde	madelon	schatten	todten	küsters	marti	notar	lauson	parzik	baas	frau	verhandlung	eremit	don	vicomte	trab	noch	hvaland	schlucht	große	wolfsind	signora	marquis
6	brief	caduchon	geschichte	beute	isidor	zuschauer	martiniere	kräfte	namen	john	pfarrer	schwägerin	major	horváth	stößli	anezka	carlo	ging	hauptmann	dame	mariannette	büren	rose	jahr	mariechen	begleiter	worden	schäfer	valtella	behrend
7	feuer	tobias	kunst	nacht	wanags	brücke	wawerle	moidi	regnie	antonio	mama	gertrauden	manz	selvar	marfa	magd	zorgenhof	herr	werthvolle	töchter	antonio	louison	nidinger	jünglinge	theobald	fischer	nikola	doctor	priore	bürgermeister
8	reppenberger	alte	voll	jäger	geelhaar	königin	fräulein	konnten	dimitri	bauern	papa	lieutenant	wesen	sohling	scholastika	annerl	baldus	zeit	erfindung	sacken	müllerin	erzählung	gutsherr	jacobea	erwiderte	berg	müller	lied	doctor	john
9	mag	pfarrmagd	geboren	jagd	littauer	justizrath	schmuck	grossinger	ghetto	don	herrn	worden	kascha	auge	zehnuhrmesser	kasper	freimeister	mann	sinn	windschrot	claudine	sacken	geld	stadt	liesbeth	nebi	namen	königin	signor	werdet
